Pairs,Frequency,Dates
47-68,13,"2022/2/12,2020/11/14,2020/10/15,2020/6/11,2020/3/14,2019/10/29,2019/2/23,2018/7/28,2016/11/26,2016/6/16,2015/4/9,2012/1/3,2009/2/24"
1-8-87,2,"2018/2/3,2012/11/3"
12-14-41,2,"2013/1/3,2009/9/1"
26-30-57,2,"2016/2/18,2013/11/12"
41-71-86,2,"2015/11/3,2009/9/8"
10-19-25-35-51-73,1,2009/2/26
6-33-66,2,"2019/8/3,2009/5/26"
1-14,6,"2022/9/17,2014/9/27,2014/5/31,2012/3/15,2010/7/1,2010/2/13"
66-70,9,"2022/9/10,2020/5/9,2019/9/7,2019/4/4,2018/8/18,2017/5/30,2016/12/10,2010/8/24,2010/8/3"
46-48,14,"2020/9/10,2020/2/1,2019/6/11,2019/6/1,2017/11/2,2017/9/23,2017/7/6,2017/3/11,2016/9/20,2015/9/12,2013/10/31,2012/6/26,2010/2/16,2009/4/18"
27-70-82,2,"2013/12/19,2012/7/14"
11-16,6,"2020/1/25,2019/2/21,2015/6/30,2012/12/11,2011/11/22,2009/12/29"
7-15-17-18-26-53,1,2014/10/7
26-33-51,2,"2022/10/8,2017/7/22"
8-28-34,2,"2018/4/12,2018/2/3"
4-22-36-60-66-90,1,2017/2/21
23-29-35-50-57-60,1,2019/11/21
9-40-81,2,"2019/10/22,2018/2/22"
51-84-90,2,"2021/3/11,2013/2/26"
40-79,11,"2019/10/22,2019/10/12,2019/8/20,2018/11/3,2018/2/17,2017/6/29,2015/3/26,2014/4/3,2010/8/31,2010/4/20,2009/12/31"
26-45-58-69-72-82,1,2020/2/18
6-20-25-42-57-80,1,2012/6/28
24-48-50-62-63-87,1,2013/10/26
28-29-37-43-51-78,1,2016/11/19
78-79,11,"2022/7/19,2020/7/2,2019/6/6,2015/9/17,2014/10/16,2014/9/25,2014/5/8,2012/10/23,2011/8/20,2011/4/26,2010/5/22"
32-63-70,2,"2019/2/19,2012/6/7"
20-51-90,2,"2013/2/26,2011/6/7"
9-11-68,2,"2016/5/21,2009/5/9"
2-27-78,3,"2022/7/19,2022/6/18,2021/6/12"
24-75,5,"2016/4/2,2014/8/14,2013/8/1,2012/6/21,2010/9/30"
8-16-20-23-47-56,1,2012/6/4
13-16-41-49-58-76,1,2009/10/31
3-12-38-50-54-55,1,2011/3/5
9-25-35-59-76-81,1,2014/12/2
31-75,8,"2021/2/20,2020/10/1,2019/8/31,2018/4/24,2017/11/11,2016/11/8,2014/5/17,2013/5/4"
13-19-52,2,"2022/9/6,2012/5/8"
72-86,6,"2021/10/9,2021/6/8,2021/6/3,2021/2/27,2018/10/4,2014/8/2"
53-62,8,"2021/1/14,2020/6/13,2020/1/30,2014/1/25,2013/4/23,2011/12/15,2010/1/26,2010/1/21"
7-27-73-77-78-89,1,2021/4/6
35-82-87,2,"2014/3/8,2011/11/26"
22-32-45-60-61-80,1,2017/7/20
76-81,11,"2022/2/5,2021/12/11,2020/9/29,2020/6/1,2019/11/14,2018/6/28,2018/2/22,2014/12/2,2010/11/16,2009/11/10,2009/9/24"
18-63,6,"2022/11/5,2019/7/2,2016/8/16,2015/6/25,2014/6/7,2013/2/2"
22-46-51,2,"2020/12/22,2015/11/7"
54-78-82,2,"2012/6/9,2010/7/24"
62-64,6,"2022/4/26,2022/2/8,2021/4/29,2017/6/27,2014/11/15,2014/2/15"
21-62-84,2,"2015/6/18,2009/12/29"
11-18-40-58-81-87,1,2013/10/17
5-15-61-75-82-86,1,2020/5/23
28-49-65,2,"2021/7/20,2020/6/1"
21-45-53,2,"2021/6/1,2019/8/29"
36-49-75,2,"2021/9/11,2014/2/18"
34-82-83,2,"2012/9/4,2009/10/10"
7-81,5,"2021/12/11,2021/5/22,2019/9/24,2018/8/18,2016/10/15"
10-43,7,"2022/11/3,2021/6/15,2019/12/14,2017/12/28,2013/1/2,2012/5/24,2011/3/19"
49-57-77,2,"2017/9/2,2014/1/2"
29-72-85,2,"2016/5/3,2013/7/16"
6-26-56-65-69-82,1,2009/2/28
17-40-50-73-74-82,1,2009/9/22
26-33-53-61-73-82,1,2014/9/6
37-49-52-53-75-87,1,2020/8/27
39-77,10,"2021/3/2,2021/2/13,2018/5/3,2018/1/30,2017/12/19,2016/10/13,2012/11/17,2011/11/10,2009/9/10,2009/3/3"
79-83,6,"2022/3/1,2021/12/9,2019/1/22,2017/2/7,2016/4/23,2012/3/8"
41-72-78,2,"2021/3/27,2013/9/7"
20-29-44,2,"2021/4/24,2010/3/23"
10-41-59-61-65-71,1,2015/4/28
24-29-36-43-50-51,1,2020/10/20
13-40-48-67-69-85,1,2020/3/5
34-45-59,2,"2020/5/9,2015/5/2"
18-23-57,2,"2022/4/23,2015/12/22"
28-52-69,2,"2022/2/24,2017/8/17"
1-21,14,"2022/8/6,2020/10/22,2019/11/9,2017/1/5,2016/12/24,2015/7/21,2014/7/3,2013/9/17,2013/2/23,2011/5/12,2011/1/4,2010/12/28,2009/7/28,2009/3/24"
18-29-39-58-59-76,1,2019/9/3
6-21-85,4,"2021/11/6,2015/6/20,2011/5/12,2010/3/16"
41-43-46,3,"2022/5/7,2014/10/21,2013/7/25"
3-19,5,"2021/1/23,2019/1/24,2015/8/25,2014/1/23,2011/2/12"
37-67-88,2,"2019/3/12,2012/10/9"
41-45,12,"2021/6/1,2016/12/17,2015/10/10,2015/9/29,2014/10/9,2014/5/20,2011/9/29,2010/12/30,2010/7/22,2009/12/31,2009/9/1,2009/7/25"
51-63-79,2,"2019/4/23,2011/8/11"
6-29-74,3,"2021/9/21,2011/6/28,2010/4/22"
5-39-59,2,"2021/5/25,2020/3/21"
40-63,7,"2021/6/24,2019/8/24,2011/2/15,2010/8/31,2009/11/14,2009/8/6,2009/7/28"
9-51,10,"2021/3/11,2019/3/9,2018/1/16,2017/1/28,2012/3/27,2012/1/17,2011/8/27,2011/7/2,2010/12/21,2010/8/19"
8-16-28,2,"2019/12/28,2012/5/3"
45-58-85,3,"2012/5/22,2012/5/12,2010/3/27"
22-82,7,"2020/10/31,2019/1/22,2016/7/30,2014/11/22,2013/6/29,2013/1/29,2012/11/6"
8-45,6,"2019/1/7,2017/11/4,2015/2/5,2011/4/21,2011/4/2,2009/10/17"
9-77-86,2,"2021/10/21,2021/10/9"
26-32-48,2,"2022/5/17,2019/7/11"
83-84,9,"2021/6/5,2020/8/25,2019/8/29,2014/8/28,2013/8/13,2013/5/11,2012/7/31,2011/12/9,2009/7/30"
24-44,10,"2022/7/21,2022/5/3,2021/11/18,2017/11/18,2016/12/22,2016/10/18,2013/2/14,2012/1/19,2011/10/25,2009/1/15"
41-46-87,2,"2016/1/14,2011/12/24"
1-9-37-69-71-83,1,2012/6/16
56-78,11,"2022/1/13,2020/7/2,2018/5/12,2016/2/9,2015/4/27,2014/5/22,2012/11/27,2011/12/10,2011/9/24,2011/4/26,2009/6/30"
28-59-60,2,"2017/5/2,2009/10/3"
13-36,5,"2019/7/13,2017/2/18,2015/3/17,2013/3/9,2010/8/26"
27-44-48-57-77-83,1,2011/2/19
2-33,3,"2016/4/9,2013/7/20,2011/12/31"
7-31-52,2,"2020/10/1,2019/9/5"
12-21-22,2,"2018/8/16,2017/9/30"
47-58-85,3,"2020/10/13,2011/3/19,2009/6/9"
32-58-63,2,"2017/3/21,2012/6/7"
45-75,11,"2022/8/30,2020/5/7,2018/3/6,2017/6/17,2017/2/9,2014/4/19,2013/11/26,2013/11/14,2012/3/24,2011/9/29,2011/7/12"
43-58-83,2,"2020/5/5,2019/3/28"
9-35-48,2,"2017/2/14,2014/11/3"
34-61-87,2,"2018/9/15,2010/3/4"
28-32,9,"2022/10/27,2020/1/18,2017/10/28,2017/6/15,2017/6/8,2016/4/5,2013/1/8,2011/3/8,2009/2/19"
31-40-52,2,"2015/5/9,2011/5/5"
9-25,8,"2022/8/2,2017/1/10,2016/11/15,2014/12/2,2014/4/26,2012/12/13,2009/9/24,2009/5/23"
5-36,8,"2020/3/3,2018/12/15,2015/12/15,2014/5/17,2012/10/20,2012/8/23,2012/7/19,2012/4/14"
28-55-69,3,"2019/7/25,2018/8/30,2011/5/17"
67-83,12,"2022/3/19,2018/8/14,2017/1/24,2016/4/14,2015/1/13,2014/9/4,2013/10/29,2013/5/11,2013/4/20,2012/10/9,2012/3/15,2010/2/20"
2-47-55,2,"2018/9/18,2014/11/13"
33-46-73,3,"2020/7/4,2014/12/24"
53-73-84,2,"2021/6/5,2012/1/12"
1-61-63,2,"2021/7/22,2014/7/3"
3-4,6,"2021/8/19,2014/5/6,2013/7/2,2013/4/4,2011/5/7,2009/4/4"
27-31,7,"2021/5/20,2020/9/8,2018/5/24,2014/9/2,2010/12/7,2009/11/14,2009/6/18"
16-65,9,"2019/12/28,2019/5/30,2017/5/27,2016/9/10,2016/3/10,2013/12/10,2013/5/9,2010/10/16,2010/6/10"
39-71-90,2,"2022/9/8,2013/3/19"
28-86,9,"2021/3/25,2021/2/2,2020/10/24,2020/9/24,2019/3/14,2017/8/17,2015/6/3,2013/9/19,2012/1/31"
35-84,5,"2020/6/25,2015/2/19,2014/12/16,2011/5/10,2011/4/23"
37-62-70,2,"2011/4/12,2011/3/26"
73-74,6,"2022/1/3,2021/7/8,2020/10/6,2020/2/25,2017/1/28,2009/9/22"
22-31-38,2,"2014/3/22,2012/12/24"
20-24-25,2,"2021/10/26,2014/12/11"
14-22-27-47-68-77,1,2022/2/12
21-41,7,"2021/6/1,2018/12/13,2013/6/11,2013/2/12,2012/2/16,2011/9/6,2010/11/27"
51-81,14,"2022/5/7,2019/11/9,2018/6/14,2018/5/19,2017/2/4,2017/1/19,2016/1/30,2015/11/28,2015/10/22,2014/3/11,2013/2/9,2011/7/14,2010/12/21,2009/10/15"
6-62,9,"2019/7/6,2018/11/29,2018/6/21,2014/10/4,2013/5/25,2011/4/23,2011/3/15,2010/9/14,2010/1/26"
17-18-41-57-58-75,1,2018/5/8
39-43-58-73-83-86,1,2020/5/5
20-51-74,3,"2016/1/9,2011/7/16,2009/1/27"
11-48,12,"2019/12/12,2017/11/2,2017/6/8,2016/4/28,2016/1/16,2015/9/12,2015/4/4,2014/7/12,2011/3/29,2010/8/28,2009/5/21,2009/5/9"
3-12-59,2,"2018/10/27,2014/2/4"
19-28-82,3,"2018/1/4,2014/12/18,2014/2/22"
22-28-32-57-58-85,1,2011/3/8
28-56-63,2,"2012/2/23,2011/12/20"
18-21-36-38-45-62,1,2011/11/15
30-38-46-47-62-67,1,2010/6/3
31-70,5,"2022/7/9,2020/8/25,2015/8/20,2014/6/5,2011/4/5"
37-72,5,"2021/12/4,2021/2/27,2018/7/24,2018/5/22,2018/3/22"
31-32-60-75-81-84,1,2016/11/8
16-27-62,2,"2021/7/10,2010/6/12"
22-38-81,2,"2022/3/26,2014/5/24"
3-42-88,2,"2014/10/2,2014/6/24"
36-62,14,"2022/2/8,2021/5/15,2020/12/19,2019/12/31,2019/1/12,2018/11/29,2014/11/25,2014/2/18,2011/12/22,2011/11/15,2009/12/28,2009/6/25,2009/5/19,2009/4/9"
22-73,7,"2022/5/24,2021/9/18,2015/12/19,2014/6/24,2013/1/10,2009/5/14,2009/5/12"
14-61-90,2,"2016/4/19,2014/2/6"
11-38-71,2,"2018/7/19,2018/2/13"
22-58-83,2,"2020/8/8,2011/3/12"
53-59-66,2,"2019/5/25,2013/5/23"
9-47-53,2,"2020/9/17,2013/7/4"
6-60,9,"2021/11/9,2021/5/4,2019/6/29,2018/4/30,2016/9/8,2012/12/1,2012/5/10,2012/4/17,2010/5/25"
25-33-59,2,"2017/12/14,2014/2/4"
12-13-19-37-62-72,1,2018/5/22
8-13-25-50-65-72,1,2018/10/16
1-39-60,2,"2021/4/3,2013/10/8"
6-34-73,2,"2015/5/2,2010/5/25"
41-46-51,2,"2022/5/7,2017/11/9"
7-55-73,2,"2018/4/5,2015/12/19"
14-19-50-69-75-90,1,2017/8/5
7-45-81,2,"2021/12/11,2019/9/24"
44-49-60,2,"2022/2/15,2017/1/17"
39-67-69,2,"2022/10/20,2010/12/27"
8-32-85,2,"2014/7/8,2011/5/21"
9-28-36-50-66-90,1,2019/12/21
29-32,7,"2022/7/23,2022/5/17,2017/8/31,2016/2/20,2015/3/24,2012/5/24,2010/10/28"
10-34-56-87,2,"2022/1/13,2015/2/28"
48-83-86,2,"2022/4/5,2018/2/27"
4-19-34-52-68-77,1,2009/10/1
3-48-76,3,"2017/3/11,2014/6/14,2010/12/14"
4-23-43-47-74-82,1,2019/6/15
17-36-62-67-70-87,1,2014/11/25
2-36,5,"2017/6/3,2015/8/6,2012/10/20,2009/4/9,2009/3/12"
35-63-75,2,"2020/10/8,2015/10/13"
34-63-89,2,"2012/4/3,2009/9/17"
34-37-52-58-65-89,1,2017/3/2
6-45-78,2,"2017/11/4,2016/10/22"
13-29-55,2,"2019/4/30,2011/11/29"
28-77-79,2,"2019/10/22,2011/12/17"
16-33,10,"2020/1/28,2019/8/3,2019/5/30,2019/1/12,2018/12/1,2018/5/17,2017/11/11,2015/2/21,2013/7/20,2012/1/31"
46-51-65,2,"2014/3/4,2009/3/14"
12-68,6,"2019/7/18,2017/9/5,2016/7/9,2014/3/29,2013/3/28,2012/3/17"
9-22-48-66-68-83,1,2016/9/13
2-12-26,2,"2017/11/16,2016/10/6"
31-58-87,2,"2018/5/24,2015/12/1"
12-15-38-43-56-85,1,2019/3/19
61-87,12,"2021/12/21,2020/11/28,2019/3/16,2018/9/15,2017/11/28,2017/5/18,2016/10/18,2015/3/3,2014/4/8,2011/9/13,2011/1/18,2010/3/4"
61-72,8,"2021/3/6,2019/11/23,2016/7/14,2015/10/17,2011/11/22,2010/10/28,2009/9/15,2009/3/28"
10-52-59,2,"2019/9/14,2016/5/12"
2-62-79,3,"2017/1/7,2011/6/21,2009/4/9"
6-13-41-71-75-86,1,2009/9/8
25-68-74,2,"2022/8/2,2010/4/22"
21-65-77,2,"2022/2/3,2018/9/27"
40-66-77,2,"2012/7/12,2009/12/12"
2-54,13,"2022/9/1,2021/7/15,2021/6/12,2020/9/15,2019/6/6,2016/4/9,2015/11/7,2013/4/29,2011/7/7,2011/3/22,2010/11/13,2010/8/12,2009/1/10"
24-29-45-63-65-70,1,2016/6/7
20-36,10,"2020/2/20,2019/8/24,2019/7/25,2017/4/15,2016/1/9,2014/9/2,2013/5/18,2011/4/2,2010/12/4,2009/8/27"
8-33-89,3,"2019/5/28,2017/3/7,2012/9/11"
41-44-48,2,"2015/7/23,2014/2/1"
25-67-78,2,"2022/5/21,2011/7/28"
16-49-56,2,"2021/8/10,2016/3/3"
38-60-65,2,"2021/5/8,2020/5/12"
37-40,10,"2022/11/3,2020/8/6,2019/12/10,2019/7/18,2019/3/2,2018/2/17,2016/8/4,2014/1/16,2011/12/15,2009/3/5"
7-14-42-43-56-57,1,2013/10/3
36-48-67-77-85-87,1,2022/2/17
29-41,6,"2022/5/7,2015/1/8,2012/11/20,2011/12/1,2011/6/11,2010/12/30"
33-45,6,"2021/9/30,2019/10/12,2019/6/29,2014/5/3,2010/7/20,2010/5/3"
41-44-59,2,"2016/11/17,2010/11/6"
14-75-79,2,"2013/8/8,2012/2/25"
2-13-89,2,"2022/9/1,2022/5/19"
6-16,9,"2022/6/30,2020/8/8,2019/8/3,2019/7/30,2019/3/5,2013/6/25,2012/12/11,2012/5/10,2011/3/18"
34-46-55,2,"2020/7/21,2014/10/21"
17-20-41,2,"2014/10/9,2014/6/28"
6-26-55,2,"2012/6/23,2009/10/24"
15-42,6,"2022/9/22,2020/9/12,2019/8/10,2019/7/13,2018/3/10,2011/12/29"
4-9,7,"2022/10/4,2019/11/7,2017/4/22,2015/3/21,2013/11/5,2013/7/6,2009/5/12"
41-67-73,2,"2022/3/19,2011/10/27"
65-75-81,3,"2022/9/22,2016/4/2,2011/11/3"
8-59-86,4,"2022/6/6,2021/8/21,2015/7/9,2015/1/31"
23-45-87,2,"2022/8/4,2015/6/4"
10-19-20,2,"2020/7/11,2013/10/12"
20-46-50,2,"2018/11/10,2010/6/17"
27-45,10,"2021/6/1,2019/3/26,2018/11/8,2017/1/3,2016/2/11,2011/9/22,2011/7/12,2011/1/27,2010/12/7,2009/8/22"
41-79-88,2,"2019/8/20,2012/2/14"
9-14-90,3,"2014/2/6,2010/3/13,2009/1/13"
4-12,8,"2022/6/9,2017/12/2,2015/8/27,2014/8/14,2014/7/24,2013/4/2,2012/1/14,2011/1/3"
32-60,10,"2022/6/21,2019/4/2,2017/7/20,2016/11/8,2015/9/19,2015/2/14,2014/7/22,2013/2/14,2010/12/9,2009/7/11"
27-41,4,"2021/6/1,2018/7/10,2018/7/5,2014/11/11"
23-24-70,2,"2010/1/23,2009/10/6"
12-22-27,2,"2013/12/17,2013/6/27"
3-9-17-38-54-62,1,2009/4/16
14-17-45-87,2,"2022/5/26,2015/6/4"
7-21-39,3,"2017/9/30,2017/1/5,2016/2/4"
7-8-25-46-65-78,1,2010/3/11
8-79,10,"2019/5/23,2017/4/29,2017/1/7,2015/9/17,2014/3/1,2012/9/27,2011/8/11,2011/1/15,2010/3/13,2009/2/7"
38-45-90,2,"2011/8/25,2011/4/28"
20-28,6,"2022/10/6,2019/7/25,2019/3/30,2015/11/28,2012/2/23,2009/11/5"
21-66-90,2,"2019/5/7,2009/1/13"
43-56-90,2,"2012/5/24,2011/7/19"
22-25-46-52-54-65,1,2014/4/10
63-86,7,"2022/4/5,2020/6/20,2019/8/24,2019/6/4,2019/3/14,2017/9/16,2011/7/23"
6-10-19,2,"2020/7/11,2013/11/23"
1-53,4,"2021/4/3,2013/4/23,2009/12/17,2009/12/15"
3-42,14,"2021/9/14,2020/8/29,2019/12/28,2019/7/13,2016/1/12,2015/6/3,2014/10/2,2014/6/24,2014/4/26,2011/8/4,2011/2/22,2010/10/21,2009/11/28,2009/4/4"
6-35-37-46-59-86,1,2022/9/29
39-60,7,"2021/4/3,2021/1/26,2016/10/13,2013/10/8,2012/11/17,2012/4/17,2011/10/25"
11-13-17-49-51-61,1,2009/2/3
3-8-10-31-77-79,1,2012/9/27
24-39-48,2,"2012/6/21,2009/5/21"
33-78,13,"2021/6/17,2020/7/2,2020/6/27,2019/7/27,2018/10/6,2018/3/13,2017/2/16,2015/5/5,2015/4/30,2015/3/31,2013/8/13,2012/7/10,2009/3/10"
29-82-83,2,"2015/2/24,2012/7/31"
28-65,12,"2022/7/14,2022/2/3,2021/7/20,2021/3/16,2021/1/19,2020/8/18,2020/6/1,2019/12/28,2019/4/9,2015/11/28,2010/8/26,2009/4/30"
30-77,7,"2019/10/19,2019/4/13,2018/11/24,2015/9/1,2015/2/10,2012/7/26,2012/6/12"
10-74,8,"2021/3/20,2020/5/26,2020/2/25,2016/5/17,2016/1/7,2013/12/24,2011/12/1,2010/11/4"
17-35-76,3,"2016/12/13,2011/6/25,2011/6/9"
56-86,5,"2020/3/12,2018/2/27,2015/11/14,2015/5/30,2011/10/22"
66-84,6,"2022/1/10,2019/9/7,2019/7/11,2015/2/19,2013/4/4,2013/2/28"
12-34-44-45-53-68,1,2016/7/9
35-44-66,2,"2015/2/19,2009/11/3"
1-12-65,3,"2019/8/22,2016/3/17,2009/10/8"
75-82,13,"2021/11/30,2020/5/23,2019/9/28,2019/5/2,2018/4/24,2016/11/24,2014/2/18,2013/9/21,2013/4/30,2012/7/14,2011/5/10,2011/3/3,2009/7/21"
12-57,5,"2016/2/18,2016/1/21,2015/1/22,2014/3/29,2009/11/5"
15-49-63-79-85-86,1,2019/6/4
4-29,9,"2018/6/23,2017/7/25,2016/9/3,2016/7/19,2015/5/23,2013/7/2,2011/12/1,2010/3/18,2009/3/31"
4-25,4,"2017/12/2,2015/6/30,2014/1/14,2010/5/6"
22-26-77,2,"2021/10/7,2019/6/13"
15-16,12,"2022/3/8,2020/12/22,2020/11/24,2019/9/10,2019/6/8,2019/2/19,2017/4/6,2017/1/31,2014/9/16,2013/8/3,2011/5/28,2010/7/31"
18-78-80,2,"2020/7/25,2011/8/20"
71-72,5,"2021/4/15,2021/2/25,2017/10/19,2013/11/23,2009/3/26"
47-52-66,2,"2022/3/10,2019/11/30"
59-60-83,3,"2021/5/11,2016/6/28,2009/10/3"
67-72-82,2,"2017/4/20,2016/7/14"
29-32-33-49-54-85,1,2016/2/20
17-25-66,2,"2022/7/7,2016/6/23"
16-49-71,2,"2013/5/16,2013/3/2"
6-70,6,"2020/12/7,2020/1/21,2014/10/4,2014/5/8,2013/6/13,2010/9/30"
28-68-81,2,"2012/4/24,2010/5/11"
19-37-62,2,"2018/5/22,2014/9/18"
1-16-22-54-73-76,1,2013/1/10
19-48-81,2,"2013/3/16,2010/12/21"
19-78,14,"2021/5/18,2021/3/27,2021/1/5,2019/11/2,2019/1/26,2018/3/13,2015/9/3,2015/7/7,2015/5/12,2012/7/10,2011/10/13,2011/2/12,2009/6/30,2009/3/12"
36-38-63,3,"2020/1/11,2015/3/12,2009/6/25"
32-46-77,2,"2022/4/21,2015/5/7"
30-50-62,2,"2016/4/21,2009/12/9"
49-50-66,2,"2021/2/6,2010/11/11"
9-30-86,2,"2016/12/15,2013/1/12"
9-71,10,"2021/10/2,2017/6/22,2016/3/10,2015/9/17,2015/3/10,2013/3/21,2012/6/16,2012/1/17,2011/3/1,2010/7/17"
75-83,10,"2022/9/10,2021/12/9,2021/6/5,2019/5/2,2017/6/17,2015/11/21,2013/4/20,2012/2/7,2010/8/21,2010/5/29"
19-41-77,2,"2014/9/18,2014/8/5"
1-47-54-81-84-89,1,2011/2/10
40-56-81,2,"2018/5/19,2015/2/7"
6-72-82,2,"2015/2/24,2013/8/27"
8-49,6,"2022/8/13,2021/9/23,2019/5/7,2016/3/3,2016/1/23,2015/2/5"
5-15-52-60-77-84,1,2017/7/27
69-71,8,"2017/8/3,2017/6/13,2014/8/16,2012/10/2,2012/6/16,2011/1/11,2009/11/24,2009/4/27"
13-42-73,3,"2022/5/14,2021/2/25,2012/9/8"
78-88,6,"2021/8/3,2016/3/31,2015/7/7,2015/7/2,2009/12/28,2009/3/10"
44-49-65,3,"2022/9/24,2016/8/20,2012/3/20"
8-65-86,2,"2022/3/15,2013/6/18"
54-85,14,"2022/5/12,2020/2/8,2019/4/6,2017/8/24,2016/12/10,2016/10/25,2016/6/25,2016/2/20,2013/6/1,2012/2/9,2011/10/15,2011/10/1,2010/11/23,2010/10/9"
8-14-45,2,"2011/4/21,2011/4/2"
70-77,4,"2021/12/28,2021/10/9,2014/5/24,2014/1/2"
14-47-48,2,"2016/5/24,2014/1/7"
5-33-40-45-79-90,1,2019/10/12
37-50,8,"2022/1/22,2021/1/2,2020/6/6,2019/6/27,2012/2/2,2011/4/12,2010/4/1,2009/11/21"
51-74-81,2,"2018/5/19,2017/1/19"
7-35-57,2,"2018/2/10,2011/6/30"
47-73,10,"2022/5/10,2022/1/3,2020/8/22,2019/8/27,2019/4/18,2017/7/15,2016/12/20,2015/1/27,2013/6/6,2009/5/12"
28-63,6,"2019/3/14,2018/8/30,2016/3/31,2015/12/24,2012/2/23,2011/12/20"
16-20,9,"2022/9/13,2017/11/25,2013/12/10,2013/7/20,2013/5/9,2012/6/4,2011/2/26,2010/12/4,2009/3/31"
6-8-16,2,"2019/7/30,2012/12/11"
6-22,7,"2020/8/8,2019/7/6,2019/6/29,2018/11/29,2017/7/22,2013/1/29,2012/12/24"
33-57-63-65-78-88,1,2009/3/10
32-46-88,2,"2022/4/21,2010/1/16"
13-24-89,2,"2018/7/12,2010/6/5"
56-88-90,2,"2013/9/3,2009/8/13"
5-14-48-52-57-90,1,2010/11/25
6-64-82,4,"2013/8/27,2013/6/25,2010/4/10,2009/12/22"
15-27-74-77,2,"2022/4/12,2009/6/18"
9-20-33-48,2,"2018/3/20,2010/7/13"
30-49-62,2,"2021/12/21,2010/2/23"
21-69,14,"2022/6/7,2022/4/16,2020/8/6,2020/5/21,2017/3/16,2016/2/4,2015/10/1,2015/5/26,2015/3/17,2014/11/8,2014/10/14,2011/10/20,2010/12/28,2009/7/11"
14-83,7,"2020/9/5,2019/10/26,2017/10/7,2016/6/9,2015/10/27,2012/3/15,2010/8/21"
40-66-69,2,"2020/6/23,2019/3/2"
14-18-19-33-34-80,1,2021/9/28
39-64-67,2,"2020/7/16,2018/6/7"
21-81-85,2,"2021/11/6,2017/7/4"
3-75-78,2,"2017/5/9,2010/6/1"
11-25-39-48-51-71,1,2019/12/12
9-19-81,3,"2015/3/10,2011/10/13,2010/12/21"
18-31-62-64-72-77,1,2014/2/15
2-31,5,"2018/9/18,2018/3/15,2015/10/3,2013/7/20,2009/5/2"
2-19-62-74-81-83,1,2018/3/3
15-68,7,"2019/8/10,2017/12/7,2017/9/28,2016/12/3,2013/8/20,2013/6/20,2013/6/15"
3-18-25-31-65-75,1,2021/2/20
7-32,10,"2021/9/30,2020/11/17,2019/8/13,2018/9/8,2017/10/28,2016/5/5,2015/10/15,2014/11/3,2014/7/22,2009/2/14"
33-70,2,"2013/8/10,2009/12/10"
3-26-82,2,"2022/10/1,2019/5/9"
1-4-10-24-55-90,1,2011/12/6
31-77-82,2,"2022/5/5,2018/5/3"
53-67-75,2,"2012/3/13,2009/7/4"
51-84,12,"2022/10/8,2022/8/18,2021/3/11,2020/6/25,2019/7/20,2019/3/7,2018/11/6,2014/8/28,2013/2/26,2012/12/29,2012/5/26,2011/12/9"
25-90,8,"2020/12/24,2020/12/7,2020/9/29,2018/2/8,2016/5/5,2013/2/26,2010/9/23,2009/12/1"
12-24-53-66-74-83,1,2012/11/15
34-87,15,"2022/8/11,2022/1/13,2020/10/17,2019/1/8,2018/9/29,2018/9/15,2018/9/6,2018/2/3,2016/5/7,2015/2/28,2013/8/3,2013/5/25,2012/4/3,2010/3/4,2009/10/22"
55-81,16,"2022/6/28,2022/5/10,2022/2/5,2019/9/24,2018/6/28,2018/5/19,2018/4/7,2016/9/27,2015/9/22,2013/11/9,2013/7/11,2013/2/7,2012/5/29,2011/11/3,2009/10/15,2009/5/19"
45-61,8,"2021/11/25,2017/10/24,2017/7/20,2015/6/27,2013/11/14,2011/9/8,2011/1/27,2010/12/7"
9-41-46-47-53-77,1,2013/7/4
6-17-32-38-47-90,1,2018/12/11
1-57-75,2,"2019/5/2,2013/4/27"
59-88,9,"2021/12/7,2021/10/14,2021/6/24,2017/12/21,2016/9/17,2014/11/6,2014/1/25,2013/6/22,2012/11/22"
16-31-80,2,"2022/3/8,2017/11/11"
23-33-37,2,"2012/5/19,2009/8/1"
23-32-35,2,"2012/9/15,2011/8/30"
32-37,5,"2022/1/20,2019/4/2,2016/8/27,2014/5/27,2009/6/3"
45-58-66-85,2,"2012/5/12,2010/3/27"
11-45-50-54-57-62,1,2012/3/29
48-55-90,2,"2019/12/24,2010/3/9"
34-63-81,2,"2020/1/11,2017/12/5"
42-45-90,2,"2014/4/19,2011/4/28"
6-47,9,"2020/11/19,2018/12/11,2018/12/4,2018/4/30,2017/10/24,2016/9/8,2016/8/30,2011/12/27,2009/6/16"
1-32-37-54-66-81,1,2016/8/27
61-69-82,2,"2020/11/7,2010/9/21"
6-21-90,2,"2017/10/3,2011/5/12"
9-76,15,"2021/6/8,2021/2/16,2020/11/26,2020/11/24,2020/6/1,2019/2/7,2018/2/22,2018/1/16,2016/6/9,2015/1/13,2014/12/2,2013/11/5,2013/7/6,2010/12/16,2009/9/24"
6-27-36,2,"2018/11/29,2014/9/2"
11-56-72,3,"2022/7/12,2016/12/1,2016/5/14"
30-58,7,"2022/6/25,2022/1/10,2020/6/9,2019/5/28,2017/12/12,2016/12/27,2015/7/11"
31-42-49-51-68-79,1,2012/3/6
20-31-74,2,"2012/9/1,2009/1/27"
3-42-81,2,"2021/9/14,2014/4/26"
